COUNTRY,ISO3CODE,REGION,INCOME GROUP,2015 HDI,CESSATION INDEX,Officially identified person in government or contracted by government  who is responsible for tobacco dependence treatment,Clearly identified budget for tobacco dependence treatment,Official national tobacco treatment guidelines,Mass media campaigns promoting cessation,Offers help to healthcare workers and other relevant groups to stop using tobacco ,Mandatory record of patients’ tobacco use in medical notes,"Free, national telephone tobacco quitline",Specialised tobacco dependence treatment services (experts or units/clinics) offering individual or group support delivered by trained professionals,Nilan et al Data Total,Key Code
Mali,MLI,AFRO,LOW,0.442,4,0,0,0,1,1,0,0,0,2,1
Malta,MLT,EURO,HIGH,0.856,5,1,1,1,1,1,0,0.5,1,6.5,4
Marshall Islands,MHL,WPRO,MIDDLE,,4,0,0,0,1,1,0,0,0,2,1
Mauritania,MRT,AFRO,MIDDLE,0.513,2,1,0,0,0,0,0,0,0,1,1
Mauritius,MUS,AFRO,MIDDLE,0.781,4,,,,,,,,,,
Mexico,MEX,PAHO,MIDDLE,0.762,5,1,1,1,1,1,1,1,0.5,7.5,4
Fed. States of Micronesia,FSM,WPRO,MIDDLE,0.638,4,,,,,,,,,,
Monaco,MCO,EURO,HIGH,,4,,,,,,,,,,
Mongolia,MNG,WPRO,MIDDLE,0.735,4,1,0,1,0,1,1,0,0,4,2
Montenegro,MNE,EURO,MIDDLE,0.807,4,1,1,1,1,0,1,0,0,5,3
Morocco,MAR,EMRO,MIDDLE,0.647,3,,,,,,,,,,
Mozambique,MOZ,AFRO,LOW,0.418,3,,,,,,,,,,
Myanmar,MMR,SEARO,MIDDLE,0.556,4,,,,,,,,,,
Namibia,NAM,AFRO,HIGH,0.64,4,1,0,0,0,1,0,0,0.5,2.5,2
Nauru,NRU,WPRO,HIGH,,3,,,,,,,,,,
Nepal,NPL,SEARO,LOW,0.558,4,,,,,,,,,,
Netherlands,NLD,EURO,HIGH,0.924,5,0,0,1,1,0,0,0,1,3,2
New Zealand,NZL,WPRO,HIGH,0.915,5,1,1,1,1,1,1,0.5,1,7.5,4
Nicaragua,NIC,PAHO,MIDDLE,0.645,3,0,0,0,1,0,1,0,0,2,1
Niger,NER,AFRO,LOW,0.353,3,,,,,,,,,,
Nigeria,NGA,AFRO,MIDDLE,0.527,4,1,0,0,0,1,0,0,0.5,2.5,2
Niue,NIU,WPRO,,,4,0,0,0,1,1,1,0,0.5,3.5,2
Norway,NOR,EURO,HIGH,0.949,4,1,0,1,1,0,1,0.5,0.5,5,3
Oman,OMN,EMRO,HIGH,0.796,4,0,0,0,1,0,1,0,0,2,1
Pakistan,PAK,EMRO,MIDDLE,0.55,4,0,0,1,0,0,0,0,0.5,1.5,1
Palau,PLW,WPRO,MIDDLE,0.788,4,0,0,0,0,0,0,0,0,0,1
Panama,PAN,PAHO,MIDDLE,0.788,5,1,1,1,1,1,1,0.5,1,7.5,4
Papua New Guinea,PNG,WPRO,MIDDLE,0.516,2,0,0,0,0,1,1,0,0,2,1
Paraguay,PRY,PAHO,MIDDLE,0.693,4,1,1,1,0,0,0,0,0.5,3.5,2
Peru,PER,PAHO,MIDDLE,0.74,4,0,0,0,0,0,0,0,0,0,1
Philippines,PHL,WPRO,MIDDLE,0.682,4,1,1,0,1,1,1,0,0.5,5.5,3
Poland,POL,EURO,HIGH,0.855,4,1,1,1,1,0,0,0.5,0.5,5,3
Portugal,PRT,EURO,HIGH,0.843,4,1,0,0,1,1,0,0,1,4,2
Qatar,QAT,EMRO,HIGH,0.856,4,1,1,0,1,1,0,0,0.5,4.5,3
Rep. Korea,KOR,WPRO,HIGH,0.901,5,0,1,1,1,0,0,0.5,1,4.5,3
Rep. Moldova,MDA,EURO,MIDDLE,0.699,4,,,,,,,,,,
Romania,ROU,EURO,MIDDLE,0.802,4,1,0,1,0,0,1,0.5,0.5,4,2
Russian Federation,RUS,EURO,MIDDLE,0.804,4,,,,,,,,,,
Rwanda,RWA,AFRO,LOW,0.498,3,,,,,,,,,,
St. Kitts and Nevis,KNA,PAHO,HIGH,0.765,3,0,0,0,0,0,0,0,0,0,1
St. Lucia,LCA,PAHO,MIDDLE,0.735,4,1,0,0,0,1,0,0,0.5,2.5,2
St. Vincent and the Grenadines,VCT,PAHO,MIDDLE,0.722,3,0,0,0,0,0,0,0,0,0,1
Samoa,WSM,WPRO,MIDDLE,0.704,4,,,,,,,,,,
San Marino,SMR,EURO,HIGH,,4,1,0,0,1,0,0,1,1,4,2
Sao Tome and Principe,STP,AFRO,MIDDLE,0.574,4,,,,,,,,,,
Saudi Arabia,SAU,EMRO,HIGH,0.847,4,,,,,,,,,,
Senegal,SEN,AFRO,LOW,0.494,5,1,0,0,1,1,0,0.5,1,4.5,3
Serbia ,SRB,EURO,MIDDLE,0.776,4,0,0,0,0,0,0,0,1,1,1
Seychelles,SYC,AFRO,HIGH,0.782,4,0,0,0,0,1,0,0,0.5,1.5,1
Sierra Leone,SLE,AFRO,LOW,0.42,2,0,0,0,0,0,0,0,0,0,1
Singapore,SGP,WPRO,HIGH,0.925,5,0,1,1,1,1,1,0.5,1,6.5,4
Slovakia,SVK,EURO,HIGH,0.845,4,1,0,1,1,0,0,0,1,4,2
Slovenia,SVN,EURO,HIGH,0.89,4,1,1,1,1,1,1,0.5,1,7.5,4
Solomon Islands,SLB,WPRO,MIDDLE,0.515,4,,,,,,,,,,
Somalia,SOM,EMRO,LOW,,2,,,,,,,,,,
S. Africa,ZAF,AFRO,MIDDLE,0.666,4,1,0,0,1,0,0,0.5,0.5,3,2
S. Sudan,SSD,EMRO,LOW,0.418,1,,,,,,,,,,
Spain,ESP,EURO,HIGH,0.884,4,0,0,1,0,1,1,0,0.5,3.5,2
Sri Lanka,LKA,SEARO,MIDDLE,0.766,4,0,0,0,0,0,0,0,0,0,1
Sudan,SDN,EMRO,MIDDLE,0.49,2,1,0,0,1,0,0,0,0.5,2.5,2
Suriname,SUR,PAHO,MIDDLE,0.725,4,,,,,,,,,,
Swaziland,SWZ,AFRO,MIDDLE,0.541,4,,,,,,,,,,
Sweden,SWE,EURO,HIGH,0.913,4,0,0,1,1,1,0,0.5,1,4.5,3
Switz.,CHE,EURO,HIGH,0.939,4,,,,,,,,,,
Syrian Arab Rep. ,SYR,EMRO,MIDDLE,0.536,4,,,,,,,,,,
Tajikistan,TJK,EURO,MIDDLE,0.627,3,0,0,0,1,1,0,0,0,2,1
Thailand,THA,SEARO,MIDDLE,0.74,4,1,0,1,1,1,0,0.5,0.5,5,3
FYR Macedonia,MKD,EURO,MIDDLE,0.748,3,,,,,,,,,,
Timor-Leste,TLS,SEARO,MIDDLE,0.606,2,,,,,,,,,,
Togo,TGO,AFRO,LOW,0.487,2,1,0,0,1,0,0,0,0,2,1
Tonga,TON,WPRO,MIDDLE,0.721,4,1,1,0,0,1,0,0,0,3,2
Trinidad and Tobago,TTO,PAHO,HIGH,0.78,4,0,0,0,0,1,0,0,0,1,1
Tunisia,TUN,EMRO,MIDDLE,0.725,4,1,1,1,1,1,1,0,1,7,4
Turkey,TUR,EURO,MIDDLE,0.767,5,1,0,0,1,0,0,0.5,0.5,3,2
Turkmenistan,TKM,EURO,MIDDLE,0.692,4,1,0,0,1,1,1,0.5,0,4.5,3
Tuvalu,TUV,WPRO,MIDDLE,,4,0,0,0,1,1,0,0,0,2,1
Uganda,UGA,AFRO,LOW,0.493,4,1,0,0,1,0,1,0,0.5,3.5,2
Ukraine,UKR,EURO,MIDDLE,0.743,3,0,0,1,0,0,0,0,0,1,1
UAE,ARE,EMRO,HIGH,0.84,5,1,1,1,1,1,1,0,0.5,6.5,4
United Kingdom,GBR,EURO,HIGH,0.91,5,1,1,1,1,1,0,0.5,1,6.5,4
United Republic of Tanzania,TZA,AFRO,LOW,0.531,4,0,0,0,0,0,0,0,0,0,1
United States of America,USA,PAHO,HIGH,0.92,5,,,,,,,,,,
Uruguay,URY,PAHO,HIGH,0.795,4,1,1,1,1,0,1,1,1,7,4
Uzbekistan,UZB,EURO,MIDDLE,0.701,4,1,0,0,1,1,1,0,0,4,2
Vanuatu,VUT,WPRO,MIDDLE,0.597,4,0,0,0,0,0,0,0,0,0,1
Venezuela ,VEN,PAHO,MIDDLE,0.767,4,1,1,1,1,1,1,0,1,7,4
Viet Nam,VNM,WPRO,MIDDLE,0.683,3,0,0,0,1,0,0,0,0,1,1
West Bank/Gaza Strip,PSE,,MIDDLE,,3,,,,,,,,,,
Yemen,YEM,EMRO,MIDDLE,0.482,3,1,0,0,0,0,0,0,0,1,1
Zambia,ZMB,AFRO,MIDDLE,0.579,3,0,0,0,0,0,0,0,0,0,1
Zimbabwe,ZWE,AFRO,LOW,0.516,4,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
